               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.022546,            0.038618,            0.010139,             0.78743,             0.51996,             0.57131,             0.38631,            0.025363,            0.030396,            0.017113,           0.0002476,           0.0002476,           0.0002476
                  78,            0.022518,            0.037542,            0.010274,             0.80472,             0.51515,             0.56652,             0.38324,            0.025636,            0.030786,             0.01736,           0.0002377,           0.0002377,           0.0002377
                  79,              0.0223,            0.037977,           0.0098865,             0.80062,             0.52824,             0.58259,             0.39684,            0.025297,            0.030406,            0.017332,           0.0002278,           0.0002278,           0.0002278
                  80,            0.022185,            0.037848,           0.0095856,             0.77607,             0.53215,             0.56883,             0.39004,            0.025332,            0.030501,            0.017581,           0.0002179,           0.0002179,           0.0002179
                  81,            0.022073,             0.03742,           0.0096014,             0.78859,               0.526,             0.56968,             0.38702,            0.025556,            0.030702,            0.017586,            0.000208,            0.000208,            0.000208
                  82,            0.022043,            0.037396,           0.0093382,              0.8002,             0.51827,             0.57087,             0.38939,            0.025265,            0.030625,            0.017598,           0.0001981,           0.0001981,           0.0001981
                  83,            0.021711,            0.036697,           0.0094223,             0.78184,              0.5369,             0.57074,             0.39013,            0.025107,            0.030585,            0.017821,           0.0001882,           0.0001882,           0.0001882
                  84,            0.021621,            0.037035,           0.0092478,             0.76356,             0.54714,             0.57328,             0.39081,            0.025107,             0.03043,            0.017532,           0.0001783,           0.0001783,           0.0001783
                  85,            0.021563,            0.037121,           0.0090948,              0.7841,             0.53125,             0.57017,             0.39085,            0.025116,            0.030574,            0.017802,           0.0001684,           0.0001684,           0.0001684
                  86,            0.021566,            0.036981,           0.0089524,             0.79308,             0.53577,              0.5757,             0.39201,             0.02511,            0.030609,            0.017542,           0.0001585,           0.0001585,           0.0001585
                  87,            0.021334,            0.036423,           0.0086451,             0.79271,             0.52686,             0.58301,             0.40156,            0.025112,            0.030765,            0.018008,           0.0001486,           0.0001486,           0.0001486
                  88,            0.021322,             0.03659,           0.0086382,             0.78613,             0.52926,             0.57796,             0.39554,            0.025119,            0.030742,            0.017815,           0.0001387,           0.0001387,           0.0001387
                  89,            0.021193,            0.036047,           0.0085434,             0.76527,             0.54097,               0.577,              0.3964,            0.025061,            0.031003,            0.017852,           0.0001288,           0.0001288,           0.0001288
                  90,            0.021078,            0.035996,            0.008326,             0.78092,             0.53473,             0.57307,             0.39239,            0.025094,            0.031005,            0.018519,           0.0001189,           0.0001189,           0.0001189
                  91,            0.020876,            0.035713,           0.0082488,             0.78012,             0.53333,             0.57643,             0.39605,            0.025083,            0.030896,            0.017986,            0.000109,            0.000109,            0.000109
                  92,            0.020796,            0.035792,           0.0080165,             0.78364,              0.5343,             0.57607,             0.39242,            0.025086,            0.030864,            0.018082,            9.91e-05,            9.91e-05,            9.91e-05
                  93,             0.02064,             0.03536,           0.0080815,             0.79976,             0.52485,             0.57608,             0.39671,            0.025023,            0.030914,             0.01786,            8.92e-05,            8.92e-05,            8.92e-05
                  94,            0.020563,            0.035231,           0.0080324,              0.7826,             0.53552,             0.58114,             0.39973,            0.025032,            0.030926,            0.018365,            7.93e-05,            7.93e-05,            7.93e-05
                  95,            0.020446,             0.03519,           0.0078062,             0.79015,             0.52888,             0.57491,             0.39528,            0.025068,            0.031329,               0.018,            6.94e-05,            6.94e-05,            6.94e-05
                  96,             0.02037,            0.035538,           0.0077443,             0.77901,             0.53305,             0.57873,             0.39959,             0.02496,            0.031038,            0.018022,            5.95e-05,            5.95e-05,            5.95e-05
                  97,            0.020355,            0.035021,           0.0076962,               0.793,             0.52747,             0.57993,             0.40051,             0.02491,            0.031211,            0.018334,            4.96e-05,            4.96e-05,            4.96e-05
                  98,            0.020089,            0.034991,           0.0074668,             0.78789,             0.53189,             0.57798,             0.40169,            0.024944,            0.031189,            0.018315,            3.97e-05,            3.97e-05,            3.97e-05
                  99,            0.020167,            0.034894,            0.007322,             0.78119,             0.53589,             0.57581,             0.39904,            0.024958,            0.031269,            0.018505,            2.98e-05,            2.98e-05,            2.98e-05
